"행정구역","2023년10월_계_총인구수","2023년10월_계_연령구간인구수","2023년10월_계_0~9세","2023년10월_계_10~19세","2023년10월_계_20~29세","2023년10월_계_30~39세","2023년10월_계_40~49세","2023년10월_계_50~59세","2023년10월_계_60~69세","2023년10월_계_70~79세","2023년10월_계_80~89세","2023년10월_계_90~99세","2023년10월_계_100세 이상"
"전국  (0000000000)","51,354,226","51,354,226","3,363,562","4,663,270","6,234,041","6,582,571","7,956,960","8,645,524","7,622,722","3,941,289","2,039,926","295,645","8,716"
"서울특별시  (1100000000)","9,400,249","9,400,249","518,510","736,846","1,364,332","1,428,212","1,426,244","1,489,967","1,318,049","734,458","337,391","44,769","1,471"
"부산광역시  (2600000000)","3,298,213","3,298,213","196,404","263,874","380,538","392,167","486,946","539,408","562,364","317,979","141,091","17,005","437"
"대구광역시  (2700000000)","2,376,978","2,376,978","151,519","214,802","284,674","280,349","358,107","418,594","365,584","194,427","96,426","12,239","257"
"인천광역시  (2800000000)","2,990,276","2,990,276","202,939","272,067","365,545","410,958","481,184","512,409","439,870","196,221","93,896","14,682","505"
"광주광역시  (2900000000)","1,421,760","1,421,760","100,939","147,971","192,397","174,729","228,653","239,552","184,127","98,347","48,168","6,666","211"
"대전광역시  (3000000000)","1,443,965","1,443,965","97,558","138,445","200,422","187,987","221,923","241,542","201,915","98,558","48,392","7,008","215"
"울산광역시  (3100000000)","1,104,031","1,104,031","79,954","109,481","123,202","137,479","178,690","203,865","168,994","70,724","27,918","3,645","79"
"세종특별자치시  (3600000000)","386,079","386,079","43,959","50,502","37,753","59,549","77,397","53,706","37,131","16,347","8,213","1,477","45"
"경기도  (4100000000)","13,627,840","13,627,840","997,818","1,324,414","1,691,024","1,878,608","2,264,166","2,319,598","1,826,015","841,073","421,050","62,175","1,899"
"강원특별자치도  (5100000000)","1,529,500","1,529,500","91,797","129,596","164,471","158,670","210,385","261,255","275,286","141,293","83,867","12,476","404"
"충청북도  (4300000000)","1,594,211","1,594,211","104,228","144,669","182,961","187,617","232,117","270,446","258,009","127,590","75,325","10,976","273"
"충청남도  (4400000000)","2,128,563","2,128,563","144,939","202,230","226,198","251,384","325,159","346,648","324,467","177,837","110,759","18,438","504"
"전라북도  (4500000000)","1,757,295","1,757,295","103,626","164,747","192,071","173,416","246,799","299,318","284,638","171,087","104,388","16,707","498"
"전라남도  (4600000000)","1,805,823","1,805,823","108,778","159,189","178,966","169,847","241,947","309,670","304,348","189,086","124,316","19,060","616"
"경상북도  (4700000000)","2,558,085","2,558,085","153,826","217,756","249,717","260,671","359,561","442,901","449,133","251,489","150,103","22,370","558"
"경상남도  (4800000000)","3,255,239","3,255,239","214,763","316,183","325,137","352,601","508,362","578,463","529,333","267,053","141,835","21,061","448"
"제주특별자치도  (5000000000)","676,119","676,119","52,005","70,498","74,633","78,327","109,320","118,182","93,459","47,720","26,788","4,891","296"
