행정구역,2023년10월_계_총인구수,2023년10월_계_연령구간인구수,2023년10월_계_0~9세,2023년10월_계_10~19세,2023년10월_계_20~29세,2023년10월_계_30~39세,2023년10월_계_40~49세,2023년10월_계_50~59세,2023년10월_계_60~69세,2023년10월_계_70~79세,2023년10월_계_80~89세,2023년10월_계_90~99세,2023년10월_계_100세 이상
서울특별시  (1100000000),9400249,9400249,518510,736846,1364332,1428212,1426244,1489967,1318049,734458,337391,44769,1471
서울특별시 종로구 (1111000000),139606,139606,6007,9781,21571,19312,19264,23870,20697,11480,6634,954,36
서울특별시 종로구 청운효자동(1111051500),11345,11345,605,1088,1383,1522,1900,1903,1412,897,552,80,3
서울특별시 종로구 사직동(1111053000),9016,9016,467,659,1056,1412,1415,1475,1245,694,501,87,5
서울특별시 종로구 삼청동(1111054000),2246,2246,87,161,239,281,321,348,384,247,149,27,2
서울특별시 종로구 부암동(1111055000),9125,9125,386,835,1113,1178,1399,1623,1345,741,424,77,4
서울특별시 종로구 평창동(1111056000),17415,17415,1017,1518,2038,2061,2499,3143,2790,1389,813,138,9
서울특별시 종로구 무악동(1111057000),7990,7990,556,923,823,841,1300,1422,1099,600,374,48,4
서울특별시 종로구 교남동(1111058000),9699,9699,741,779,1121,1431,1686,1629,1191,686,388,47,0
서울특별시 종로구 가회동(1111060000),3866,3866,150,312,416,498,629,687,547,378,217,32,0
서울특별시 종로구 종로1.2.3.4가동(1111061500),6697,6697,167,206,952,971,835,1130,1323,693,373,45,2
서울특별시 종로구 종로5.6가동(1111063000),5396,5396,159,202,1194,886,571,860,786,469,234,35,0
서울특별시 종로구 이화동(1111064000),6931,6931,177,316,1512,1228,797,1004,937,574,340,46,0
서울특별시 종로구 혜화동(1111065000),15919,15919,524,1213,4313,2005,1936,2302,1715,1082,720,103,6
서울특별시 종로구 창신제1동(1111067000),4537,4537,110,175,524,614,500,844,1002,491,254,23,0
서울특별시 종로구 창신제2동(1111068000),7528,7528,160,337,969,883,815,1674,1478,776,387,49,0
서울특별시 종로구 창신제3동(1111069000),6377,6377,308,416,832,915,809,1172,1086,512,282,45,0
서울특별시 종로구 숭인제1동(1111070000),5770,5770,202,335,710,803,809,1084,981,525,282,38,1
서울특별시 종로구 숭인제2동(1111071000),9749,9749,191,306,2376,1783,1043,1570,1376,726,344,34,0
서울특별시 중구 (1114000000),121300,121300,5695,6189,17565,20771,16789,19070,18264,10495,5555,881,26
서울특별시 중구 소공동(1114052000),2177,2177,145,133,225,446,516,316,232,105,50,9,0
서울특별시 중구 회현동(1114054000),4381,4381,163,207,419,524,530,783,943,513,251,46,2
